"","rep","site_code","factor","microsite_number","month","day","year","filename","animal.hit","identified_by","class","order","family","genus","species","common_name","scientific_name","timestamp","number_of_objects"
"16",7530,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG0053.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-15 10:52",1
"17",7535,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG0213.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-16 5:33",1
"18",7557,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1017.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 9:33",1
"19",7570,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1589.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-21 2:05",1
"20",7571,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1603.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 8:40",1
"21",7589,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG0000.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-22 9:32",1
"22",7592,"Soda_Lake_Open","Open",2,"May","12th",2023,"IMAG0774.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-18 5:02",1
"23",7593,"Soda_Lake_Open","Mimic",5,"May","12th",2023,"IMAG1746.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-21 10:47",1
"24",7618,"Soda_Lake_Open","Open",2,"May","12th",2023,"IMAG1882.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-21 4:35",1
"25",7630,"Soda_Lake_Open","Mimic",5,"May","12th",2023,"IMAG0190.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-22 11:28",1
"26",8130,"Soda_Lake_Shrub","Mimic",3,"April","30th",2023,"IMAG0453.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-05 9:20",1
"27",8158,"Soda_Lake_Shrub","Shrub",2,"April","30th",2023,"IMAG0055.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-03 9:45",1
"28",11753,"Soda_Lake_Shrub","Shrub",1,"April","30th",2023,"IMAG1371.jpg",1,"Mario Zuliani","Mammalia","Lagomorpha","Leporidae","Lepus","californicus","Black-tailed Jackrabbit","Lepus californicus","2022-01-07 11:59",1
"29",11754,"Soda_Lake_Shrub","Shrub",2,"April","30th",2023,"IMAG0402.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-08 9:21",1
"30",11755,"Soda_Lake_Shrub","Open",8,"April","30th",2023,"IMAG0843.jpg",1,"Mario Zuliani","Mammalia","Lagomorpha","Leporidae","Lepus","californicus","Black-tailed Jackrabbit","Lepus californicus","2022-01-08 13:05",1
"31",11772,"Soda_Lake_Shrub","Open",1,"May","4th",2023,"IMAG0139.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-11 11:13",1
"32",12698,"Soda_Lake_Shrub","Open",1,"May","4th",2023,"IMAG0450.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-12 6:21",1
"33",12756,"Soda_Lake_Shrub","Open",7,"May","12th",2023,"IMAG1291.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 6:31",1
"34",12757,"Soda_Lake_Shrub","Mimic",3,"May","12th",2023,"IMAG0830.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 6:38",1
"35",12768,"Soda_Lake_Shrub","Mimic",3,"May","12th",2023,"IMAG1064.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 9:52",1
"36",12777,"Soda_Lake_Shrub","Open",7,"May","12th",2023,"IMAG0240.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 3:55",1
"37",12778,"Soda_Lake_Shrub","Open",7,"May","12th",2023,"IMAG0248.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 5:06",1
"38",12791,"Soda_Lake_Shrub","Mimic",4,"May","12th",2023,"IMAG0442.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-22 6:30",1
"39",12819,"Soda_Lake_Open","Mimic",3,"May","20th",2023,"IMAG0251.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-23 6:43",1
"40",12820,"Soda_Lake_Shrub","Open",1,"May","20th",2023,"IMAG0109.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-23 11:13",1
"41",12821,"Soda_Lake_Shrub","Open",7,"May","20th",2023,"IMAG0247.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-23 11:23",1
"42",12822,"Soda_Lake_Open","Mimic",3,"May","20th",2023,"IMAG0278.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-23 12:52",1
"43",12824,"Cuyama_1","Open",7,"May","20th",2023,"IMAG0216.jpg",1,"Mario Zuliani","Mammalia","Lagomorpha","Leporidae","Sylvilagus","audubonii","Desert Cottontail","Sylvilagus audubonii","2022-01-23 11:42",1
"44",12856,"Soda_Lake_Open","Mimic",5,"May","20th",2023,"IMAG0742.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-24 1:44",1
"45",12862,"Soda_Lake_Open","Mimic",1,"May","20th",2023,"IMAG0885.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-24 9:47",1
"46",12866,"Cuyama_3","Open",2,"May","20th",2023,"IMAG0969.jpg",1,"Mario Zuliani","Mammalia","Lagomorpha","Leporidae","Sylvilagus","audubonii","Desert Cottontail","Sylvilagus audubonii","2022-01-24 15:13",1
"47",12867,"Soda_Lake_Shrub","Shrub",2,"May","20th",2023,"IMAG0251.jpg",1,"Mario Zuliani","Mammalia","Carnivora","Canidae","Canis","latrans","Coyote","Canis latrans","2022-01-24 14:06",1
"48",12901,"Soda_Lake_Open","Open",4,"May","20th",2023,"IMAG1136.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-25 8:09",1
"49",12902,"Soda_Lake_Shrub","Open",7,"May","20th",2023,"IMAG0889.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-25 5:00",1
"50",12903,"Soda_Lake_Shrub","Open",1,"May","20th",2023,"IMAG0670.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-25 9:30",1
"51",12932,"Soda_Lake_Open","Mimic",4,"May","20th",2023,"IMAG1625.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-26 6:13",1
"52",12933,"Soda_Lake_Open","Mimic",4,"May","20th",2023,"IMAG1629.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-26 8:02",1
"53",12934,"Soda_Lake_Open","Mimic",5,"May","20th",2023,"IMAG1565.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-26 10:20",1
"54",12935,"Soda_Lake_Open","Mimic",4,"May","20th",2023,"IMAG1636.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-26 11:44",1
"55",12936,"Soda_Lake_Open","Mimic",3,"May","20th",2023,"IMAG1193.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-26 12:57",1
"56",12952,"Soda_Lake_Open","Open",4,"May","20th",2023,"IMAG1426.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-27 9:08",1
"57",12977,"Soda_Lake_Open","Mimic",4,"May","20th",2023,"IMAG0286.jpg",1,"Mario Zuliani","Aves","Passeriformes","Laniidae","Lanius","ludovicianus","Loggerhead Shrike","Lanius ludovicianus","2022-01-27 21:58",1
"58",12985,"Soda_Lake_Open","Mimic",1,"May","20th",2023,"IMAG0731.jpg",1,"Mario Zuliani","Aves","Galliformes","Odontophoridae","Callipepla","californica","California Quail","Callipepla californica","2022-01-27 23:30",1
"59",12993,"Soda_Lake_Shrub","Open",1,"May","20th",2023,"IMAG1598.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-28 5:37",1
"60",12994,"Soda_Lake_Open","Open",4,"May","20th",2023,"IMAG1917.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-28 5:50",1
"61",12995,"Soda_Lake_Shrub","Open",7,"May","20th",2023,"IMAG1656.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-28 7:23",1
"62",13021,"Soda_Lake_Shrub","Shrub",2,"May","20th",2023,"IMAG0988.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-29 5:42",1
"63",13022,"Soda_Lake_Open","Open",4,"May","20th",2023,"IMAG0450.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-29 9:15",1
"64",13023,"Soda_Lake_Open","Mimic",4,"May","20th",2023,"IMAG0898.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-29 17:23",1
"65",13025,"Soda_Lake_Open","Mimic",4,"May","20th",2023,"IMAG0872.jpg",1,"Mario Zuliani","Aves","Passeriformes","Alaudidae","Eremophila","alpestris","Horned Lark","Eremophila alpestris","2022-01-29 16:48",1
"66",14022,"Cuyama_1","Open",3,"May","4th",2023,"IMAG1799.jpg",1,"Mario Zuliani","Aves","Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","2022-01-04 23:21",1
"67",15875,"Cuyama_1","Mimic",3,"May","12th",2023,"IMAG1434.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-17 4:40",1
"68",16002,"Cuyama_1","Open",4,"May","12th",2023,"IMAG0427.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-16 5:11",1
"69",16276,"Cuyama_1","Open",4,"May","12th",2023,"IMAG1526.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 5:32",1
"70",20832,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG0054.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-15 10:10",1
"71",20863,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1083.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-18 20:53",1
"72",20870,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1283.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-19 2:34",1
"73",20871,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1316.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-19 16:03",1
"74",20880,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1573.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 11:56",1
"75",20909,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1076.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-18 20:45",2
"76",20909,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1076.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-18 20:45",2
"77",20910,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG0049.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","ingens","Giant Kangaroo Rat","Dipodomys ingens","2022-01-15 8:39",1
"78",20943,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1014.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 7:28",1
"79",20944,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1016.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 8:43",1
"80",20951,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1222.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 6:11",1
"81",20952,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1226.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 8:22",1
"82",20962,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1613.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 11:07",1
"83",20978,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG1990.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-22 4:29",1
"84",20979,"Soda_Lake_Open","Mimic",4,"May","12th",2023,"IMAG0001.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-22 9:41",1
"85",20983,"Soda_Lake_Open","Open",3,"May","12th",2023,"IMAG0374.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-17 7:06",1
"86",20984,"Soda_Lake_Open","Open",3,"May","12th",2023,"IMAG0576.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-18 10:14",1
"87",20985,"Soda_Lake_Open","Open",3,"May","12th",2023,"IMAG0589.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-18 17:42",1
"88",20986,"Soda_Lake_Shrub","Mimic",1,"April","30th",2023,"IMAG0218.jpg",1,"Mario Zuliani","Aves","Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","2022-01-03 17:36",1
"89",20990,"Soda_Lake_Shrub","Mimic",1,"April","30th",2023,"IMAG1836.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","ingens","Giant Kangaroo Rat","Dipodomys ingens","2022-01-09 4:44",1
"90",20992,"Soda_Lake_Open","Open",4,"May","12th",2023,"IMAG0089.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-17 3:47",1
"91",21001,"Soda_Lake_Open","Open",4,"May","12th",2023,"IMAG0330.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 4:31",1
"92",21002,"Soda_Lake_Open","Open",3,"May","12th",2023,"IMAG0674.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-19 15:59",2
"93",21014,"Soda_Lake_Open","Open",4,"May","12th",2023,"IMAG0950.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 8:55",1
"94",21547,"Soda_Lake_Shrub","Mimic",3,"April","30th",2023,"IMAG0233.jpg",1,"Mario Zuliani","Aves","Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","2022-01-03 22:39",1
"95",21552,"Soda_Lake_Shrub","Shrub",1,"April","30th",2023,"IMAG0836.jpg",1,"Mario Zuliani","Aves","Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","2022-01-05 1:56",1
"96",21553,"Soda_Lake_Shrub","Mimic",3,"April","30th",2023,"IMAG0446.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-05 5:19",1
"97",21556,"Soda_Lake_Shrub","Mimic",3,"April","30th",2023,"IMAG0647.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-06 5:58",1
"98",25172,"Soda_Lake_Shrub","Open",8,"April","30th",2023,"IMAG0839.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-08 9:08",1
"99",25173,"Soda_Lake_Shrub","Open",1,"April","30th",2023,"IMAG0981.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-08 11:01",1
"100",25174,"Soda_Lake_Shrub","Open",1,"April","30th",2023,"IMAG0982.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-08 12:26",1
"101",25175,"Soda_Lake_Shrub","Open",8,"April","30th",2023,"IMAG0861.jpg",1,"Mario Zuliani","Aves","Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","2022-01-08 16:47",1
"102",25194,"Soda_Lake_Shrub","Open",2,"April","30th",2023,"IMAG0018.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-10 11:19",1
"103",26154,"Soda_Lake_Shrub","Mimic",2,"May","4th",2023,"IMAG0732.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-12 4:46",1
"104",26178,"Soda_Lake_Shrub","Open",5,"May","12th",2023,"IMAG0025.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-15 11:21",1
"105",26186,"Soda_Lake_Shrub","Open",1,"May","12th",2023,"IMAG0077.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-15 20:04",1
"106",26194,"Soda_Lake_Shrub","Open",7,"May","12th",2023,"IMAG0421.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-17 4:45",1
"107",26199,"Soda_Lake_Shrub","Mimic",4,"May","12th",2023,"IMAG0838.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-18 5:59",1
"108",26208,"Soda_Lake_Shrub","Open",7,"May","12th",2023,"IMAG1298.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-19 7:32",1
