row,site_code,microsite,microsite_number,rep,lat,long,pendant_ID,shrub_density,abundance,richness,evenness,mean_ambient_temp,mean_rh,mean_ground_temp
20,Cuyama_3,mimic,4,20,34.93858,-119.4817,NA,26,24,4,0.983087759,23.0166666666667,32.8533333333333,39.0333333333333
21,Cuyama_3,mimic,5,21,34.93859,-119.48179,NA,28,8,4,1.073542846,22.55,32.43,38.3
22,Cuyama_3,open,1,22,34.93845,-119.48161,16078,16,3,2,0.636514168,20.3233333333333,37.53,31.8666666666667
23,Cuyama_3,open,2,23,34.9385,-119.4816,18251,22,6,2,0.450561209,20.8566666666667,35.37,38.2666666666667
24,Cuyama_3,open,3,24,34.93855,-119.48161,18235,28,3,2,0.636514168,23.0633333333333,34.38,35.4666666666667
25,Cuyama_3,open,4,25,34.93858,-119.48172,NA,28,2,2,0.693147181,22.3133333333333,32.7366666666667,36.0333333333333
26,Cuyama_3,open,5,26,34.9385,-119.4818,NA,18,0,0,0,22.8266666666667,31.8133333333333,32.7333333333333
27,Cuyama_3,open,6,27,34.93856,-119.48175,NA,28,3,2,0.636514168,22.6066666666667,32.8066666666667,35.4
28,Cuyama_3,open,7,28,34.93851,-119.4818,NA,22,0,0,0,23.57,31.9,36.6333333333333
29,Cuyama_3,open,8,29,34.93848,-119.48185,NA,12,1,1,0,23.7866666666667,31.4066666666667,28.4
30,Cuyama_3,shrub,1,30,34.93854,-119.48173,16008,24,8,4,1.213007566,22.26,32.36,23.6333333333333
31,Cuyama_3,shrub,2,31,34.9385,-119.4818,NA,18,0,0,0,23.21,30.7333333333333,21.9666666666667
32,Cuyama_3,shrub,3,32,34.93849,-119.48181,18022,18,8,1,0,23.2366666666667,31.64,24.9333333333333
